Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Oil field brine,Qianjiang Formation 20,"Jianghan Basin, China",0.0591,0.05872,77.9632,1.74052,0.4803,4.547220000000001,129.56400000000002,0.9935702199661592,215.67379881728004
Oil field brine,Qianjiang Formation 21,"Jianghan Basin, China",0.04372,0.1877599999999999,75.954,1.18218,0.87288,5.10378,125.4708,4.294602012808783,209.7818990144
Oil field brine,Qianjiang Formation 22,"Jianghan Basin, China",0.0561599999999999,0.05772,92.776,2.287,0.46158,6.97578,153.0432,1.027777777777778,256.96452740712
Oil field brine,Qianjiang Formation 23,"Jianghan Basin, China",0.0562,0.0450399999999999,105.69559999999998,3.0383,0.3829399999999999,6.877619999999999,174.316,0.8014234875444838,291.74428629264
Oil field brine,Qianjiang Formation 24,"Jianghan Basin, China",0.04956,0.1265399999999999,110.1904,1.53828,0.90806,3.5355000000000003,180.7812,2.553268765133172,298.18683789992
Oil field brine,Qianjiang Formation 25,"Jianghan Basin, China",0.04244,0.1924,74.5772,0.6557,0.6261599999999999,4.61214,122.2752,4.533459000942507,203.80856072024
Oil field brine,Qianjiang Formation 26,"Jianghan Basin, China",0.03604,0.1238799999999999,99.8472,0.68416,0.4493399999999999,4.088159999999999,161.9856,3.4372918978912312,267.9521721304001
Oil field brine,Qianjiang Formation 27,"Jianghan Basin, China",0.03786,0.1902199999999999,74.5968,0.66926,0.63612,5.314500000000001,120.7376,5.024300052826201,202.94190576952
Oil field brine,Qianjiang Formation 28,"Jianghan Basin, China",0.03872,0.1878999999999999,85.6732,0.49398,0.59878,4.64664,138.6516,4.8527892561983474,230.97586839272
Oil field brine,Qianjiang Formation 29,"Jianghan Basin, China",0.04518,0.03938,93.3512,2.50314,0.3252799999999999,11.38272,150.8084,0.8716246126604694,259.67796235784
Oil field brine,Qianjiang Formation 30,"Jianghan Basin, China",0.0306,0.1482,86.28640000000001,0.5742200000000001,0.4966399999999999,4.01994,139.1992,4.8431372549019605,231.4212508188
Oil field brine,Qianjiang Formation 31,"Jianghan Basin, China",0.04158,0.04924,104.9464,1.82206,0.33264,6.8684400000000005,169.27280000000002,1.184223184223184,284.55157639120006
Oil field brine,Qianjiang Formation 32,"Jianghan Basin, China",0.0397,0.01968,89.0428,2.29024,0.17206,9.78138,142.59320000000002,0.4957178841309823,244.62367324488
Oil field brine,Qianjiang Formation 33,"Jianghan Basin, China",0.0484,0.101,93.2088,2.07044,0.8540999999999999,3.921719999999999,149.1864,2.0867768595041323,250.544760326
Oil field brine,Qianjiang Formation 34,"Jianghan Basin, China",0.04218,0.02052,120.8276,3.25904,0.18626,9.282660000000002,193.1724,0.4864864864864864,327.61178668688
Oil field brine,Qianjiang Formation 35,"Jianghan Basin, China",0.03904,0.0899799999999999,91.6092,0.5944400000000001,0.30792,7.429919999999999,145.6276,2.304815573770492,246.52241567096
Oil field brine,Qianjiang Formation 36,"Jianghan Basin, China",0.04046,0.04218,115.8416,0.91978,0.20398,7.735860000000001,184.0896,1.0425111220958971,309.72595324488
Oil field brine,Qianjiang Formation 37,"Jianghan Basin, China",0.04058,0.02696,120.796,1.59588,0.19306,11.30454,190.628,0.6643666830951208,325.66923940863995
Oil field brine,Qianjiang Formation 38,"Jianghan Basin, China",0.04464,0.03914,130.6116,2.24298,0.28026,10.88112,206.018,0.8767921146953406,351.40393153904
Oil field brine,Qianjiang Formation 39,"Jianghan Basin, China",0.0640399999999999,0.0399,129.1288,3.0122000000000004,0.49948,4.34436,203.5948,0.6230480949406623,341.89179527672
Oil field brine,Qianjiang Formation 40,"Jianghan Basin, China",0.051,0.09,123.56,1.91,1.52,1.79,193.7,1.7647058823529411,322.7
Oil field brine,Qianjiang Formation 41,"Jianghan Basin, China",0.04458,0.07514,95.7708,2.09594,0.5833200000000001,4.9278,149.97080000000005,1.6855091969493046,255.15181671720003
Oil field brine,Qianjiang Formation 42,"Jianghan Basin, China",0.08,0.23,126.35,1.75,1.27,1.75,197.8,2.875,330.0
Oil field brine,Qianjiang Formation 43,"Jianghan Basin, China",0.0394,0.08986,99.0972,1.205,0.65078,5.9025,154.9872,2.2807106598984777,262.92836163759995
Oil field brine,Qianjiang Formation 44,"Jianghan Basin, China",0.03546,0.13832,55.442800000000005,1.02672,1.4918399999999998,1.92192,86.42559999999999,3.900733220530175,147.192346884
Oil field brine,Qianjiang Formation 45,"Jianghan Basin, China",0.06,0.16,122.79,2.99,0.71,3.08,191.27,2.666666666666667,320.2
