Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Salt lake brine,Dead Sea (Dea.) ,Israel,0.018,33.31,19.225,7.01,12.33,0.61,,1850.555555555556,225.82
Salt lake brine,Dead Sea (Dea.) ,Israel,0.02,52.0,33.0,8.0,18.6,0.35,224.0,2600.0,
Salt lake brine,Dead Sea (Dea.) ,Israel,0.012,30.9,30.1,5.6,12.9,0.61,161.0,2575.0,
Salt lake brine,Dead Sea (Dea.) ,Jordan,0.0467,65.194,1.696,1.356,24.614,,233.94,1396.0171306209852,326.8467
Salt lake brine,Salton See,USA,0.22,17.1,53.7,,26.3,0.12,152.0,77.72727272727273,249.44
Salt lake brine,Great Salt Lake ,USA,0.0436,9.381,100.816,5.517,0.352,19.727,127.15,215.1605504587156,344.0
Salt lake brine,Clayton Valley ,USA,0.163,0.19,46.9,4.0,0.45,3.4,72.6,1.165644171779141,127.75
Salt lake brine,Silver Peak,USA,0.4,0.4,62.0,8.0,0.5,7.1,100.6,1.0,179.0
Salt lake brine,Smackover Formation,"AK,USA",0.174,3.5,67.0,3.0,34.452,0.45,172.0,20.114942528735632,280.576
Salt lake brine,Salar de Jama (Jam.) 1,Argentina,0.00638,0.4023,2.00426,0.20058,1.78025,7.00941,2.56043,63.0564263322884,14.8511
Salt lake brine,Salar de Jama (Jam.) 2,Argentina,0.01121,0.24311,2.85981,0.34299,0.99135,4.586609999999999,2.62716,21.686886708296164,15.11864
Salt lake brine,Salar de Jama (Jam.) 3,Argentina,0.00971,0.01729,3.52322,0.21043,0.13061,2.05134,6.17013,1.7806385169927903,12.68116
Salt lake brine,Salar de Jama (Jam.) 4,Argentina,0.00152,0.04804,3.42186,0.34395,0.12178,2.53663,4.92721,31.605263157894736,12.127680000000002
Salt lake brine,Salar de Jama (Jam.) 5,Argentina,0.00226,0.0467,4.18254,0.29661,0.06513,1.21943,5.86837,20.663716814159297,12.182480000000002
Salt lake brine,Salar de Jama (Jam.) 6,Argentina,0.26208,0.46937,60.4321,4.5906400000000005,0.64666,14.61524,97.01683,1.7909416971916974,179.74074
Salt lake brine,Salar de Jama (Jam.) 7,Argentina,0.00153,0.0479399999999999,3.47484,0.34425,0.1216899999999999,2.53517,4.92937,31.33333333333333,12.288900000000002
Salt lake brine,Salar de Jama (Jam.) 8,Argentina,0.00157,0.0474399999999999,3.482,0.34369,0.1220199999999999,2.5405300000000004,4.9302,30.21656050955414,12.30516
Salt lake brine,Salar de Jama (Jam.) 9,Argentina,0.26215,0.46732,60.42652,3.3559,0.64667,14.61559,97.01784,1.7826435246995995,178.49501
Salt lake brine,Salar de Jama (Jam.) 10,Argentina,0.26122,0.49197,60.43679,4.65847,0.6455299999999999,14.61578,97.01674,1.8833550264145165,179.81997
Salt lake brine,Olaroz (Ola.) 1,Argentina,0.7712100000000001,1.5393,112.19111,5.05143,0.58368,9.67798,181.74888,1.9959544093048585,314.07427
Salt lake brine,Olaroz (Ola.) 2,Argentina,0.96788,1.98075,112.1902,5.5043,0.5292100000000001,10.22233,181.00279,2.0464830350869945,314.90576
Salt lake brine,Olaroz (Ola.) 3,Argentina,1.00699,1.97171,107.65441,6.01897,0.5262899999999999,10.19176,179.62685000000002,1.958023416319924,309.73385
Salt lake brine,Olaroz (Ola.) 4,Argentina,1.2065899999999998,2.30138,107.9565,7.983729999999999,0.4809,8.98222,180.83696,1.907342179199231,313.25226999999995
Salt lake brine,Olaroz (Ola.) 5,Argentina,1.09171,2.18336,69.85455999999999,6.56258,0.44767,10.5854,175.69502,1.9999450403495436,269.2744
Salt lake brine,Olaroz (Ola.) 6,Argentina,1.21324,2.27619,79.67003,7.87,0.49621,10.01455,187.04081,1.876125086545119,291.19884
Salt lake brine,Olaroz (Ola.) 7,Argentina,0.86753,1.98832,107.75899,5.1786,0.5129,9.85627,176.34458999999998,2.291932267472018,305.26041000000004
Salt lake brine,Olaroz (Ola.) 8,Argentina,1.09328,2.1858,107.06869,5.50058,0.53699,10.20273,184.98741,1.9993048441387384,314.89244999999994
Salt lake brine,Olaroz (Ola.) 9,Argentina,1.06119,1.62783,112.33231,6.002770000000001,0.44719,10.65838,179.09057,1.5339665846832329,314.26676000000003
Salt lake brine,Olaroz (Ola.) 10,Argentina,0.86056,1.97019,71.78336999999999,6.568890000000001,0.5978,10.37353,181.6054,2.289427814446407,276.68084
Salt lake brine,Cauchari 1,Argentina,0.53539,1.85141,69.82560000000001,2.97648,0.55598,9.06048,108.0144,3.458058611479482,194.43495
Salt lake brine,Cauchari 2,Argentina,0.44179,1.50883,58.032,2.7144,0.76378,14.47056,102.2112,3.415265171235202,182.6882
Salt lake brine,Cauchari 3,Argentina,1.73952,1.66964,85.7088,8.59392,0.60323,11.95776,130.4064,0.9598279985283296,244.00299
Salt lake brine,Cauchari 4,Argentina,0.7128,1.59408,101.3472,4.76928,0.47693,16.355520000000002,149.8176,2.2363636363636363,277.839
Salt lake brine,Cauchari 5,Argentina,0.87278,2.10398,104.5152,4.73328,0.5991799999999999,9.68544,163.88639999999998,2.410664772336671,289.14523
Salt lake brine,Salinas Grandes (Sali.) 1,Argentina,0.02512,0.11536,6.41345,0.69362,0.87673,3.98207,10.20336,4.592356687898089,23.21135
Salt lake brine,Salinas Grandes (Sali.) 2,Argentina,0.21833,0.80313,86.37471000000001,3.32481,1.30659,1.74618,140.6863,3.678514175788943,235.31064
Salt lake brine,Salinas Grandes (Sali.) 3,Argentina,0.24411,1.01727,84.71750999999999,3.49769,1.46199,1.5735,141.35444,4.1672606611773375,234.75286
Salt lake brine,Salinas Grandes (Sali.) 4,Argentina,0.26961,1.13015,86.81689,3.76191,1.44232,2.17446,140.26587,4.191795556544638,236.64383
Salt lake brine,Salinas Grandes (Sali.) 5,Argentina,0.38208,1.30067,77.4685,4.52135,1.90637,1.90826,140.41182999999998,3.404182370184255,228.60678
Salt lake brine,Salinas Grandes (Sali.) 6,Argentina,0.2411599999999999,0.8429099999999999,79.32730000000001,3.65079,1.47179,2.38776,139.30223999999998,3.4952313816553326,227.8439
Salt lake brine,Salinas Grandes (Sali.) 7,Argentina,1.01823,2.28858,67.95424,8.14889,2.11941,1.44145,139.07147,2.247606140066586,222.6334
Salt lake brine,Salinas Grandes (Sali.) 8,Argentina,0.2465099999999999,0.92375,80.24615,3.88964,1.43194,1.95878,139.79676999999998,3.747312482252241,229.15422
Salt lake brine,Salinas Grandes (Sali.) 9,Argentina,0.3254499999999999,1.02196,85.69272,4.66809,1.39466,1.90026,137.84592999999998,3.1401444154247966,233.7288
Salt lake brine,Salinas Grandes (Sali.) 10,Argentina,0.3518,1.233,77.53922,5.19613,1.78743,1.75081,137.69057,3.5048322910744742,226.27781
Salt lake brine,Hombre Muerto (Hom.),Argentina,0.9,1.41,103.0,9.7,1.21,11.4,168.0,1.5666666666666664,294.0
Salt lake brine,"natural brine from north-western Argentina, in the Lithium Triangle",Argentina,0.72,1.14,126.8,6.126,0.601,10.431,161.87,1.5833333333333333,332.8
Salt lake brine,Olaroz salar basin,Argentina,0.554,1.5,88.265,5.971,2.529,,,2.707581227436823,294.0
Salt lake brine,Olaroz salar basin,Argentina,0.419,2.132,120.079,4.974,1.789,,,5.088305489260144,254.0
Salt lake brine,Olaroz salar basin,Argentina,0.487,2.366,118.703,6.844,0.544,,,4.858316221765914,301.0
Salt lake brine,Olaroz salar basin,Argentina,0.891,2.206,123.882,8.147,0.941,,,2.4758698092031426,288.0
Salt lake brine,Olaroz salar basin,Argentina,0.71,1.967,95.267,6.267,9.833,,,2.770422535211268,327.0
Salt lake brine,Olaroz salar basin,Argentina,0.262,0.811,53.405,2.405,1.351,,,3.095419847328244,135.0
Salt lake brine,Olaroz salar basin,Argentina,1.048,2.471,120.1,4.262,0.797,,,2.357824427480916,309.0
Salt lake brine,Olaroz salar basin,Argentina,0.832,1.934,112.5,4.271,0.935,,,2.324519230769231,273.0
Salt lake brine,Olaroz salar basin,Argentina,1.488,2.938,115.6,5.022,0.746,,,1.974462365591398,293.0
Salt lake brine,Olaroz salar basin,Argentina,1.097,2.62,117.9,6.439,0.887,,,2.3883318140382865,336.0
Salt lake brine,Olaroz salar basin,Argentina,1.391,2.839,115.8,4.346,1.367,,,2.04097771387491,299.0
Salt lake brine,Olaroz salar basin,Argentina,0.904,8.104,114.0,5.015,2.449,,,8.964601769911503,349.0
Salt lake brine,Olaroz salar basin,Argentina,0.752,1.931,114.5,3.972,2.276,,,2.56781914893617,315.0
Salt lake brine,Olaroz salar basin,Argentina,0.692,1.68,115.9,4.141,1.125,,,2.4277456647398843,279.0
Salt lake brine,Olaroz salar basin,Argentina,0.782,1.797,115.8,5.259,0.398,,,2.2979539641943734,288.0
Salt lake brine,Olaroz salar basin,Argentina,1.058,2.239,119.7,6.202,0.691,,,2.116257088846881,355.0
Salt lake brine,Olaroz salar basin,Argentina,0.915,2.342,120.6,5.479,1.022,,,2.559562841530054,351.0
Salt lake brine,Olaroz salar basin,Argentina,0.902,1.946,120.1,5.795,0.735,,,2.1574279379157426,315.0
Salt lake brine,Olaroz salar basin,Argentina,0.87,2.685,118.7,4.9,0.793,,,3.086206896551724,331.0
Salt lake brine,Olaroz salar basin,Argentina,1.223,3.269,119.0,6.815,2.859,,,2.6729354047424367,381.0
Salt lake brine,Olaroz salar basin,Argentina,1.187,2.685,119.2,5.525,0.652,,,2.2620050547598987,297.0
Salt lake brine,Olaroz salar basin,Argentina,0.746,1.614,115.9,5.055,2.86,,,2.1635388739946384,345.0
Salt lake brine,Olaroz salar basin,Argentina,0.038,0.15,,,0.22,,,3.947368421052632,7.8
Salt lake brine,Olaroz salar basin,Argentina,0.039,0.345,,,0.763,,,8.846153846153845,17.2
Salt lake brine,Olaroz salar basin,Argentina,0.167,0.703,1.052,,1.171,,,4.209580838323353,8.2
Salt lake brine,Olaroz salar basin,Argentina,0.012,0.022,1.225,0.096,0.073,,,1.8333333333333333,4.8
Salt lake brine,Olaroz salar basin,Argentina,0.003,0.007,0.658,,0.021,,,2.333333333333333,2.1
Salt lake brine,Olaroz salar basin,Argentina,0.004,0.043,0.614,0.0395,0.186,,,10.749999999999998,1.8
Salt lake brine,Olaroz salar basin,Argentina,0.001,0.019,0.266,,0.094,,,19.0,2.1
Salt lake brine,Olaroz salar basin,Argentina,0.001,0.018,0.181,0.049,0.093,,,18.0,0.8
Salt lake brine,Olaroz salar basin,Argentina,0.08,0.498,15.87,0.61,0.166,,,6.225,40.6
Salt lake brine,Olaroz salar basin,Argentina,0.04,0.236,,,0.465,,,5.9,15.0
Salt lake brine,Lake Frome,Australia,0.014,1.0,116.0,0.37,0.588,14.0,173.0,71.42857142857143,305.11
Salt lake brine,Antofalla-Botijuelas,Southern Puna,0.164,0.705,15.975,2.49,2.964,8.714,29.058,4.298780487804877,54.802
Salt lake brine,Antofalla-Botijuelas,Southern Puna,0.615,0.725,63.713,3.518,0.662,7.725,113.985,1.1788617886178865,184.57
Salt lake brine,Antofalla-Botijuelas,Southern Puna,0.311,0.816,55.77,0.807,0.535,7.815,88.201,2.623794212218649,147.78
Salt lake brine,Antofalla-Botijuelas,Southern Puna,0.095,0.365,6.889,0.365,1.31,1.83,14.1,3.842105263157895,25.31
Salt lake brine,Antofalla-Botijuelas,Southern Puna,0.046,0.644,5.271,0.476,0.692,1.005,9.46,14.0,18.5
Salt lake brine,Antofalla-Botijuelas,Southern Puna,0.025,0.206,2.58,0.166,0.286,0.356,4.873,8.239999999999998,9.11
Salt lake brine,Arizaro,Southern Puna,0.106,0.484,100.581,4.112,0.415,12.482,182.213,4.566037735849057,273.875
Salt lake brine,Arizaro,Southern Puna,0.083,0.545,53.106,3.061,0.473,5.521,98.09,6.566265060240964,154.865
Salt lake brine,Arizaro,Southern Puna,0.375,1.616,23.449,5.686,0.512,17.619,42.61,4.309333333333334,92.25
Salt lake brine,Arizaro,Southern Puna,0.318,7.735,25.564,7.543,0.517,30.246,58.847,24.32389937106918,129.55
Salt lake brine,Arizaro,Southern Puna,0.18,4.144,99.477,10.071,0.429,30.39,184.233,23.022222222222226,308.175
Salt lake brine,Arizaro,Southern Puna,0.112,0.515,24.944,1.098,0.515,13.922,39.243,4.598214285714286,79.767
Salt lake brine,Arizaro,Southern Puna,0.465,4.092,24.99,10.011,0.494,17.619,56.897,8.799999999999999,105.297
Salt lake brine,Arizaro,Southern Puna,0.052,1.07,15.564,1.48,0.515,7.921,23.467,20.57692307692308,48.115
Salt lake brine,Arizaro,Southern Puna,0.097,0.376,10.805,1.315,0.432,2.496,16.661,3.8762886597938144,38.865
Salt lake brine,Arizaro,Southern Puna,0.122,0.484,22.53,1.18,0.41,7.681,38.534,3.9672131147540974,64.4
Salt lake brine,Centenario,Southern Puna,0.065,0.916,6.752,0.966,0.831,2.96,14.595,14.092307692307692,26.09
Salt lake brine,Centenario,Southern Puna,0.025,0.604,7.134,0.843,0.508,3.056,14.276,24.16,26.435
Salt lake brine,Centenario,Southern Puna,0.106,1.196,10.613,2.86,0.395,12.461,17.133,11.283018867924527,41.156
Salt lake brine,Centenario,Southern Puna,0.133,1.217,11.767,2.914,0.842,12.663,18.466,9.150375939849624,44.753
Salt lake brine,Centenario,Southern Puna,0.377,2.277,10.45,3.025,0.619,12.184,21.493,6.039787798408488,48.59
Salt lake brine,Diablillos,Southern Puna,0.047,1.884,9.533,0.746,0.791,3.541,21.897,40.08510638297872,37.595
Salt lake brine,Diablillos,Southern Puna,0.081,1.121,6.943,0.687,0.794,2.715,15.041,13.839506172839506,26.35
Salt lake brine,Diablillos,Southern Puna,0.235,0.933,21.535,7.876,1.403,9.587,38.27,3.9702127659574473,77.81
Salt lake brine,Diablillos,Southern Puna,0.357,0.964,21.784,6.37,1.486,11.618,37.731,2.700280112044818,80.735
Salt lake brine,Hombre Muerto,Southern Puna,0.114,0.916,8.197,2.984,0.792,1.017,18.766,8.035087719298245,31.215
Salt lake brine,Hombre Muerto,Southern Puna,0.085,0.678,8.871,4.31,0.41,1.216,19.49,7.976470588235294,33.386
Salt lake brine,Hombre Muerto,Southern Puna,0.966,1.114,64.927,6.43,1.162,1.284,137.91,1.153209109730849,194.42
Salt lake brine,Hombre Muerto,Southern Puna,0.674,0.833,72.484,4.022,0.592,1.312,139.409,1.2359050445103856,205.022
Salt lake brine,Hombre Muerto,Southern Puna,1.013,1.915,62.4,5.66,0.874,0.934,125.313,1.8904244817374136,196.012
Salt lake brine,Incahuasi,Southern Puna,0.022,5.283,7.36,2.754,1.284,0.362,32.631,240.13636363636363,48.22
Salt lake brine,Incahuasi,Southern Puna,0.082,10.376,6.548,6.896,0.976,0.93,48.675,126.53658536585364,69.03
Salt lake brine,Incahuasi,Southern Puna,0.132,15.894,12.344,4.012,1.194,0.678,72.913,120.4090909090909,100.125
Salt lake brine,Incahuasi,Southern Puna,0.145,14.687,11.782,7.13,0.988,0.736,74.353,101.2896551724138,107.34
Salt lake brine,Incahuasi,Southern Puna,0.096,9.828,10.491,7.732,1.074,0.855,61.345,102.375,85.7
Salt lake brine,Río Grande,Southern Puna,0.335,3.785,50.22,0.919,0.766,0.968,97.053,11.298507462686567,154.03
Salt lake brine,Río Grande,Southern Puna,0.51,2.431,80.732,0.652,0.745,0.97,161.39,4.766666666666667,226.6
Salt lake brine,Río Grande,Southern Puna,0.41,4.479,50.673,5.506,0.512,0.97,102.85,10.92439024390244,156.6
Salt lake brine,Río Grande,Southern Puna,0.305,5.646,49.772,3.59,0.58,0.943,101.06,18.511475409836063,157.8
Salt lake brine,Río Grande,Southern Puna,0.857,5.611,41.464,5.914,0.498,14.903,91.505,6.547257876312719,157.822
Salt lake brine,Pocitos-Quirón,Southern Puna,0.027,0.246,9.584,0.421,1.235,2.69,18.02,9.11111111111111,31.654
Salt lake brine,Pocitos-Quirón,Southern Puna,0.03,0.285,9.667,0.105,1.443,6.24,17.859,9.5,34.11
Salt lake brine,Pocitos-Quirón,Southern Puna,0.101,1.225,102.595,0.61,0.795,9.05,182.235,12.128712871287128,278.245
Salt lake brine,Pocitos-Quirón,Southern Puna,0.086,1.384,110.862,1.197,0.815,4.3,190.75,16.093023255813954,299.217
Salt lake brine,Pocitos-Quirón,Southern Puna,0.046,0.26,11.44,1.488,1.54,6.955,18.345,5.652173913043479,37.511
Salt lake brine,Pocitos-Quirón,Southern Puna,0.065,0.568,12.544,1.67,0.412,5.272,23.95,8.738461538461538,40.764
Salt lake brine,Pocitos-Quirón,Southern Puna,0.068,0.633,10.38,1.771,0.645,7.925,16.055,9.308823529411764,35.943
Salt lake brine,Pocitos-Quirón,Southern Puna,0.053,0.596,10.301,1.612,0.408,3.897,15.252,11.245283018867925,29.48
Salt lake brine,Pocitos-Quirón,Southern Puna,0.022,0.578,10.298,1.644,0.944,2.102,18.095,26.272727272727277,30.44
Salt lake brine,Pocitos-Quirón,Southern Puna,0.068,0.135,12.863,1.702,0.365,9.97,20.333,1.9852941176470589,45.2
Salt lake brine,Pozuelos,Southern Puna,0.096,1.133,81.661,1.011,0.447,8.864,154.521,11.802083333333334,236.95
Salt lake brine,Pozuelos,Southern Puna,0.207,1.854,107.771,2.976,0.558,9.06,176.283,8.956521739130435,291.208
Salt lake brine,Pozuelos,Southern Puna,0.712,2.587,102.715,6.314,2.632,10.785,178.25,3.6334269662921352,290.15
Salt lake brine,Pozuelos,Southern Puna,0.26,1.816,115.955,4.044,0.604,2.974,198.97,6.984615384615385,298.574
Salt lake brine,Pozuelos,Southern Puna,0.94,1.715,87.012,5.213,1.605,13.115,150.67,1.8244680851063837,254.01
Salt lake brine,Pozuelos,Southern Puna,0.835,2.099,102.152,4.728,1.61,9.685,190.956,2.513772455089821,295.19
Salt lake brine,Pozuelos,Southern Puna,0.086,1.18,81.674,1.024,0.444,8.812,171.36,13.72093023255814,255.85
Salt lake brine,Pozuelos,Southern Puna,0.075,0.741,76.59,0.816,0.672,9.005,122.034,9.88,205.243
Salt lake brine,Ratones,Southern Puna,0.088,0.135,9.78,0.852,1.213,2.731,17.26,1.5340909090909092,28.08
Salt lake brine,Ratones,Southern Puna,0.26,0.323,30.533,3.205,1.54,5.125,54.457,1.2423076923076923,82.58
Salt lake brine,Ratones,Southern Puna,0.125,0.21,27.312,3.024,1.408,3.58,53.192,1.68,71.8
Salt lake brine,Rincón,Southern Puna,0.344,1.815,95.235,7.13,1.05,17.484,176.936,5.276162790697675,281.05
Salt lake brine,Rincón,Southern Puna,0.27,2.297,99.199,6.543,0.813,25.233,172.557,8.507407407407408,284.65
Salt lake brine,Rincón,Southern Puna,0.112,2.21,47.03,5.012,0.805,13.314,84.823,19.732142857142858,151.91
Salt lake brine,Rincón,Southern Puna,0.122,2.284,47.764,4.841,0.833,14.584,83.635,18.721311475409838,145.016
Salt lake brine,Rincón,Southern Puna,0.36,1.788,41.24,6.974,1.102,15.415,73.814,4.966666666666667,140.265
Salt lake brine,Rincón,Southern Puna,0.268,2.044,38.945,6.53,0.91,16.112,74.722,7.626865671641791,140.59
Salt lake brine,Rincón,Southern Puna,0.195,1.833,50.163,6.812,0.93,10.341,96.231,9.4,152.237
Salt lake brine,Rincón,Southern Puna,0.651,2.03,61.24,7.315,0.652,11.012,108.378,3.118279569892473,183.455
Salt lake brine,Rincón,Southern Puna,0.337,1.918,59.152,7.015,0.844,10.404,107.5,5.691394658753708,187.321
Salt lake brine,Rincón,Southern Puna,0.15,2.016,60.488,4.916,0.83,10.482,102.334,13.44,180.35
Salt lake brine,Río Grande,Southern Puna,0.336,2.215,96.485,3.012,1.862,18.68,162.84,6.592261904761904,284.605
Salt lake brine,Río Grande,Southern Puna,0.274,2.19,98.187,3.305,1.966,19.99,163.773,7.992700729927006,280.24
Salt lake brine,Río Grande,Southern Puna,0.468,2.136,89.337,3.315,1.987,8.654,169.085,4.564102564102564,257.045
Salt lake brine,Río Grande,Southern Puna,0.502,2.23,77.91,3.588,2.104,6.94,131.528,4.442231075697211,207.145
Salt lake brine,Río Grande,Southern Puna,0.139,1.39,87.761,2.469,1.97,4.974,166.235,9.999999999999998,259.99
Salt lake brine,Río Grande,Southern Puna,0.152,1.505,99.828,2.645,2.103,5.134,164.615,9.901315789473683,258.57
Salt lake brine,Río Grande,Southern Puna,0.48,2.234,103.466,3.316,2.1,4.909,162.2,4.654166666666667,252.412
Salt lake brine,Río Grande,Southern Puna,0.692,2.974,74.572,2.89,1.283,2.022,131.665,4.297687861271677,199.07
Salt lake brine,Río Grande,Southern Puna,0.475,2.212,78.288,3.325,2.33,3.08,150.755,4.656842105263158,234.26
Salt lake brine,Río Grande,Southern Puna,0.443,2.084,75.342,3.191,2.049,2.315,147.765,4.704288939051919,225.525
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.0035,0.012,0.34,0.007,0.108,0.046,0.596,3.4285714285714284,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.0035,0.01,0.35,0.007,0.096,0.047,0.612,2.857142857142857,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.003,0.008,0.275,0.006,0.088,0.035,0.478,2.6666666666666665,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.006,0.014,0.525,0.018,0.092,0.068,0.846,2.333333333333333,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.004,0.02,0.44,0.008,0.08,0.066,0.688,5.0,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.004,0.02,0.415,0.012,0.08,0.064,0.68,5.0,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.42,0.435,56.0,0.58,0.3,6.06,87.4,1.0357142857142858,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.34,0.35,48.0,0.42,0.275,7.48,69.8,1.0294117647058822,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.034,0.208,71.0,0.48,0.102,1.036,10.74,6.117647058823529,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.006,0.032,0.6,0.04,0.084,0.159,0.836,5.333333333333333,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.44,0.43,80.0,0.7,1.45,11.24,127.0,0.9772727272727272,
Salt lake brine,Salar de Tara,23°03`S / 67°15`W,0.42,0.44,76.0,0.64,1.4,10.7,123.2,1.0476190476190477,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.004,0.024,0.34,0.008,0.094,0.058,0.602,6.0,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.0025,0.026,0.225,0.0065,0.094,0.055,0.48,10.4,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.004,0.022,0.33,0.012,0.086,0.062,0.578,5.5,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.006,0.012,1.1,0.018,0.24,0.101,2.1,2.0,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.02,0.05,4.3,0.056,0.8,0.27,8.26,2.5,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.01,0.1,1.6,0.034,0.32,0.229,2.93,10.0,
Salt lake brine,salar de Aguas Calientes Norte,23°07`S / 67°24`W,0.13,0.82,23.0,1.02,2.8,3.01,40.8,6.307692307692308,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.0015,0.035,0.28,0.028,0.125,0.384,0.338,23.333333333333336,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.175,0.79,26.0,2.825,0.18,15.0,37.0,4.514285714285715,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.2,0.835,32.0,3.175,0.18,22.6,39.8,4.175,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.001,0.028,0.26,0.026,0.07,0.264,0.286,28.0,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.001,0.012,0.22,0.016,0.05,0.208,0.232,12.0,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.06,0.25,23.0,0.975,0.175,32.2,12.88,4.166666666666667,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.02,0.098,9.5,0.3,0.3,15.44,3.52,4.9,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.002,0.016,1.05,0.032,0.08,1.6,0.441,8.0,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.4,1.515,52.0,3.4,1.0,14.34,87.2,3.7875,
Salt lake brine,salar de Pujsa,23°12`S / 67°30`W,0.027,0.183,13.0,0.525,0.525,21.96,5.0,6.777777777777778,
Salt lake brine,salar de Loyoques,"23°14′S, 67°15′W",0.006,0.034,0.89,0.022,0.22,0.097,1.765,5.666666666666667,
Salt lake brine,salar de Loyoques,"23°14′S, 67°15′W",0.35,2.3,96.0,0.123,18.0,1.82,202.0,6.571428571428571,
Salt lake brine,salar de Loyoques,"23°14′S, 67°15′W",0.375,2.475,100.0,0.123,15.85,1.72,196.8,6.6000000000000005,
Salt lake brine,salar de Loyoques,"23°14′S, 67°15′W",0.425,2.855,96.0,0.128,17.6,1.84,194.8,6.7176470588235295,
Salt lake brine,salar de Loyoques,"23°14′S, 67°15′W",0.275,2.135,62.0,1.65,5.6,2.6,114.2,7.763636363636362,
Salt lake brine,salar de Aguas Caliente Centro,23°29`S / 67°32`W,0.01,0.415,3.75,0.325,2.425,1.302,10.74,41.5,
Salt lake brine,salar de Aguas Caliente Centro,23°29`S / 67°32`W,0.005,0.413,2.15,0.228,0.6,0.752,4.66,82.6,
Salt lake brine,salar de Aguas Caliente Centro,23°29`S / 67°32`W,0.0075,0.273,2.6,0.24,1.65,0.882,7.26,36.400000000000006,
Salt lake brine,salar de Aguas Caliente Centro,23°29`S / 67°32`W,0.045,3.338,19.0,1.025,0.875,5.53,33.8,74.17777777777778,
Salt lake brine,salar de Aguas Caliente Centro,23°29`S / 67°32`W,0.0075,0.293,2.8,0.15,0.575,0.236,5.84,39.06666666666666,
Salt lake brine,salar Laco,23°51`S / 67°24`W,0.04,2.035,19.0,1.525,1.3,5.37,34.2,50.875,
Salt lake brine,salar Laco,23°51`S / 67°24`W,0.0325,2.645,21.0,1.85,1.225,7.28,36.3,81.38461538461539,
Salt lake brine,salar Laco,23°51`S / 67°24`W,0.0275,2.165,19.0,1.55,0.8,5.93,32.2,78.72727272727273,
Salt lake brine,salar Laco,23°51`S / 67°24`W,0.02,1.102,12.0,0.9,0.775,3.768,18.08,55.1,
Salt lake brine,salar Laco,23°51`S / 67°24`W,0.002,0.034,0.65,0.095,0.19,0.34,1.09,17.0,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0175,1.37,13.0,0.9,1.625,4.16,24.36,78.28571428571428,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0025,0.17,2.1,0.182,0.275,0.642,3.59,68.0,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0005,0.062,0.5,0.06,0.18,0.447,0.98,124.0,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0005,0.06,0.55,0.06,0.17,0.424,0.935,120.0,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0025,0.193,2.4,0.155,0.425,0.606,4.17,77.2,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0005,0.033,0.25,0.027,0.41,1.186,0.256,66.0,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.005,0.15,1.1,0.085,0.23,0.689,1.85,30.0,
Salt lake brine,salar de Aguas Caliente Sur,23°58`S / 67°40`W,0.0025,0.085,0.65,0.0455,0.14,0.343,1.135,34.0,
